airport_code,viz_count,avg_visibility,median_visibility,max_visibility,min_visibility,std_visibility,AIRPORT NAME,LOCATION,ST,PROCEDURE NAME,LPV or LP,DA OR MDA,VIS,HAT,ILS to Rwy (Y/N),Rwy End Cntr,ILS @ Arpt (Y/N),WAAS CHANNEL #
KIBM,3,6.666666666666667,7.0,10.0,3.0,3.5118845842842465,KIMBALL MUNI/ROBERT E ARRAJ FIELD,KIMBALL,NE,RNAV (GPS) RWY 10,LP,5240,1,314,N,1.0,N,93625
KMBG,3,5.666666666666667,4.0,10.0,3.0,3.7859388972001824,MOBRIDGE MUNI,MOBRIDGE,SD,RNAV (GPS) RWY 30,LPV,2049,1.125,349,N,1.0,N,72622
KMKT,3,6.333333333333333,5.0,10.0,4.0,3.214550253664318,MANKATO RGNL,MANKATO,MN,RNAV (GPS) RWY 15,LPV,1373,1.25,353,N,1.0,Y,45615
KLGB,3,8.666666666666666,9.0,10.0,7.0,1.5275252316519465,LONG BEACH/DAUGHERTY FIELD/,LONG BEACH,CA,RNAV (GPS) Z RWY 30,LPV,260,2400,222,Y,1.0,Y,99521
KLWT,3,5.75,7.0,10.0,0.25,4.993746088859544,LEWISTOWN MUNI,LEWISTON,MT,RNAV (GPS) RWY 26,LPV,4324, 0.75,200,N,1.0,N,50230
KHUT,3,7.333333333333333,9.0,10.0,3.0,3.7859388972001824,HUTCHINSON RGNL,HUTCHINSON,KS,RNAV (GPS) RWY 13,LPV,1725,2400,200,Y,1.0,Y,50210
KGOK,3,7.666666666666667,7.0,10.0,6.0,2.081665999466133,GUTHRIE-EDMOND RGNL,GUTHRIE,OK,RNAV (GPS) RWY 16,LPV,1319,1,250,N,1.0,N,56308
KMML,3,5.25,4.0,10.0,1.75,4.264680527307995,SOUTHWEST MINNESOTA RGNL MARSHALL/RYAN FLD,MARSHALL,MN,RNAV (GPS) RWY 12,LPV,1383, 0.5,200,Y,1.0,Y,82106
KLFK,3,8.0,9.0,10.0,5.0,2.6457513110645907,ANGELINA COUNTY,LUFKIN,TX,RNAV (GPS) RWY 25,LP,660,1,364,N,1.0,Y,72641
KLVM,3,4.75,2.5,10.0,1.75,4.562071897723665,MISSION FIELD,LIVINGSTON,MT,RNAV (GPS) RWY 22,LP,5260,1,614,N,1.0,N,48824
KGGG,3,6.333333333333333,7.0,10.0,2.0,4.041451884327381,EAST TEXAS RGNL,LONGVIEW,TX,RNAV (GPS) RWY 31,LPV,604, 0.75,250,N,1.0,Y,53504
KJLN,3,6.5,9.0,10.0,0.5,5.220153254455275,JOPLIN RGNL,JOPLIN,MO,RNAV (GPS) RWY 31,LPV,1229, 0.75,251,N,1.0,Y,69334
KPPA,3,4.666666666666667,2.5,10.0,1.5,4.645786621588785,PERRY LEFORS FIELD,PAMPA,TX,RNAV (GPS) RWY 17,LPV,3489,1,250,N,1.0,N,65731
KMVY,3,4.833333333333333,4.0,10.0,0.5,4.804511768466525,MARTHA'S VINEYARD,VINEYARD HAVEN,MA,RNAV (GPS) RWY 06,LPV,304, 0.75,250,N,1.0,Y,42601
KCVO,3,9.0,9.0,10.0,8.0,1.0,CORVALLIS MUNI,CORVALLIS,OR,RNAV (GPS) RWY 35,LPV,500, 0.75,250,N,1.0,Y,69517
KSHV,3,7.0,8.0,10.0,3.0,3.605551275463989,SHREVEPORT RGNL,SHREVEPORT,LA,RNAV (GPS) RWY 14,LPV,458,1800,200,Y,1.0,Y,45913
KSHR,3,4.416666666666667,2.0,10.0,1.25,4.8498281756504875,SHERIDAN COUNTY,SHERIDAN,WY,RNAV (GPS) RWY 33,LPV,4205, 0.5,220,Y,1.0,Y,65699
KBJC,3,26.666666666666668,20.0,50.0,10.0,20.81665999466133,ROCKY MOUNTAIN METROPOLITAN,DENVER,CO,RNAV (GPS) RWY 12L,LP,6020,1,359,N,1.0,Y,77938
KBKW,3,5.833333333333333,5.0,10.0,2.5,3.8188130791298667,RALEIGH COUNTY MEMORIAL,BECKLEY,WV,RNAV (GPS) RWY 28,LP,3320,1,816,N,1.0,Y,42923
KSBM,3,8.666666666666666,9.0,10.0,7.0,1.5275252316519468,SHEBOYGAN COUNTY MEMORIAL,SHEBOYGAN,WI,RNAV (GPS) RWY 04,LPV,994,1,250,N,1.0,Y,61104
KBUR,3,5.333333333333333,4.0,10.0,2.0,4.163331998932265,BOB HOPE,BURBANK,CA,RNAV (GPS) Z RWY 08,LP,1540,6000,813,Y,1.0,Y,53638
KBWD,3,9.0,9.0,10.0,8.0,1.0,BROWNWOOD RGNL,BROWNWOOD,TX,RNAV (GPS) RWY 17,LPV,1637, 0.75,250,N,1.0,N,70325
KBWI,3,7.666666666666667,8.0,10.0,5.0,2.516611478423583,BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL,BALTIMORE,MD,RNAV (GPS) RWY 15L,LPV,544,1.375,402,Y,1.0,Y,40108
KBYG,3,8.0,8.0,10.0,6.0,2.0,JOHNSON COUNTY,BUFFALO,WY,RNAV (GPS) RWY 31,LPV,5155, 0.75,250,N,1.0,N,48835
KCAK,3,6.333333333333333,5.0,10.0,4.0,3.2145502536643185,AKRON-CANTON RGNL,AKRON,OH,RNAV (GPS) RWY 19,LPV,1418,2400,200,Y,1.0,Y,58020
KSAC,3,9.0,9.0,10.0,8.0,1.0,SACRAMENTO EXECUTIVE,SACRAMENTO,CA,RNAV (GPS) RWY 02,LPV,294,1,273,Y,1.0,Y,62810
KCDR,3,5.833333333333333,6.0,10.0,1.5,4.252450274057692,CHADRON MUNI,CHADRON,NE,RNAV (GPS) RWY 12,LPV,3544,1,250,N,1.0,Y,56523
KCEZ,3,6.333333333333333,5.0,10.0,4.0,3.214550253664318,CORTEZ MUNI,CORTEZ,CO,RNAV (GPS) Z RWY 21,LPV,6215,1,302,N,1.0,N,99699
KCFV,3,7.333333333333333,7.0,10.0,5.0,2.516611478423583,COFFEYVILLE MUNI,COFFEYVILLE,KS,RNAV (GPS) RWY 17 ORIG,LPV,1003,1,250,N,1.0,N,77544
KRWI,3,8.333333333333334,9.0,10.0,6.0,2.081665999466133,ROCKY MOUNT-WILSON RGNL,ROCKY MOUNT,NC,RNAV (GPS) RWY 04,LPV,409, 0.75,250,Y,1.0,Y,56513
KCHO,3,4.666666666666667,3.0,10.0,1.0,4.725815626252609,CHARLOTTESVILLE-ALBEMARLE,CHARLOTTESVILLE,VA,RNAV (GPS) Y RWY 21,LP,940,1,314,N,1.0,Y,62831
KCLE,3,7.333333333333333,8.0,10.0,4.0,3.0550504633038935,CLEVELAND-HOPKINS INTL,CLEVELAND,OH,RNAV (GPS) RWY 10,LP,1240,1,457,N,1.0,Y,73026
KCOE,3,6.333333333333333,8.0,10.0,1.0,4.725815626252609,COEUR D'ALENE - PAPPY BOYINGTON FIELD,COEUR D'ALENE,ID,RNAV (GPS) RWY 06,LPV,2477, 0.5,200,Y,1.0,Y,70608
KRHI,3,4.583333333333333,2.0,10.0,1.75,4.692636075100363,RHINELANDER-ONEIDA COUNTY,RHINELANDER,WI,RNAV (GPS) RWY 27,LPV,1806, 0.75,200,N,1.0,Y,50217
KCOU,3,8.0,8.0,10.0,6.0,2.0,COLUMBIA RGNL,COLUMBIA,MO,RNAV (GPS) RWY 13,LPV,1139,1,250,N,1.0,Y,40042
KCRG,3,7.0,8.0,10.0,3.0,3.605551275463989,JACKSONVILLE EXECUTIVE AT CRAIG,JACKSONVILLE,FL,RNAV (GPS) RWY 32,LPV,241,1,200,Y,1.0,Y,57901
KBFM,3,8.666666666666666,9.0,10.0,7.0,1.5275252316519468,MOBILE DOWNTOWN,MOBILE,AL,RNAV (GPS) RWY 14,LPV,311,0.875,285,N,1.0,Y,50411
KBFL,3,7.666666666666667,9.0,10.0,4.0,3.214550253664318,MEADOWS FIELD,BAKERSFIELD,CA,RNAV (GPS) RWY 30R,LPV,698,1800,205,Y,1.0,Y,58118
KBDL,3,4.833333333333333,3.0,10.0,1.5,4.536885862938733,BRADLEY INTL,WINDSOR LOCKS,CT,RNAV (GPS) RWY 15,LPV,480,0.875,309,N,1.0,Y,60928
KAFW,3,7.0,9.0,10.0,2.0,4.358898943540674,FORT WORTH ALLIANCE,FORT WORTH,TX,RNAV (GPS) RWY 34R,LPV,881,1800,200,Y,1.0,Y,82324
K06D,3,9.0,9.0,10.0,8.0,1.0,ROLLA MUNI,ROLLA,ND,RNAV (GPS) RWY 32,LPV,2069,1,250,N,1.0,N,81834
K1F0,3,7.333333333333333,7.0,10.0,5.0,2.516611478423583,ARDMORE DOWNTOWN EXECUTIVE,ARDMORE,OK,RNAV (GPS) RWY 17,LP,1360,1,520,N,1.0,N,48921
KWRL,3,5.583333333333333,6.0,10.0,0.75,4.639055219905593,WORLAND MUNI,WORLAND,WY,RNAV (GPS) RWY 16,LPV,4424, 0.75,250,N,1.0,N,40228
KWDR,3,6.5,7.0,10.0,2.5,3.774917217635375,BARROW COUNTY,WINDER,GA,RNAV (GPS) RWY 31,LPV,1170, 0.75,250,Y,1.0,Y,69305
K3S8,3,8.666666666666666,9.0,10.0,7.0,1.5275252316519468,GRANTS PASS,GRANTS PASS,OR,RNAV (GPS) RWY 13,LP,1680,1,565,N,1.0,N,56242
KVNC,3,7.333333333333333,7.0,9.0,6.0,1.5275252316519465,VENICE MUNI,VENICE,FL,RNAV (GPS) RWY 23,LP,360,1,342,N,1.0,N,53433
KVCT,3,7.666666666666667,7.0,10.0,6.0,2.081665999466133,VICTORIA RGNL,VICTORIA,TX,RNAV (GPS) RWY 13L,LPV,315, 0.5,200,Y,1.0,Y,82709
K9V9,3,7.333333333333333,7.0,10.0,5.0,2.516611478423583,CHAMBERLAIN MUNI,CHAMBERLAIN,SD,RNAV (GPS) RWY 13,LP,2080,1,384,N,1.0,N,42841
KADS,3,10.0,10.0,13.0,7.0,3.0,ADDISON,DALLAS,TX,RNAV (GPS) RWY 15,LPV,943,1,300,Y,1.0,Y,82202
KAIT,3,7.333333333333333,7.0,10.0,5.0,2.516611478423583,AITKIN MUNI-STEVE KURTZ FIELD,AITKIN,MN,RNAV (GPS) RWY 16,LPV,1518,1,312,N,1.0,N,78131
KBCT,3,8.333333333333334,8.0,10.0,7.0,1.5275252316519468,BOCA RATON,BOCA RATON,FL,RNAV (GPS) Y RWY 23,LPV,263, 0.75,250,N,1.0,N,42801
KT82,3,5.5,4.0,10.0,2.5,3.968626966596886,GILLESPIE COUNTY,FREDERICKSBURG,TX,RNAV (GPS) RWY 14,LP,2060,1,365,N,1.0,N,78030
KAMG,3,7.666666666666667,8.0,10.0,5.0,2.516611478423583,BACON COUNTY,ALMA,GA,RNAV (GPS) RWY 15,LPV,452,1,252,N,1.0,N,45537
KANJ,3,7.666666666666667,7.0,10.0,6.0,2.081665999466133,SAULT STE MARIE MUNI/SANDERSON FIELD,SAULT STE MARIE,MI,RNAV (GPS) RWY 32,LP,1040,1,324,N,1.0,N,49122
KSUS,3,7.0,6.0,10.0,5.0,2.6457513110645907,SPIRIT OF ST LOUIS,ST LOUIS,MO,RNAV (GPS) RWY 08R,LPV,662,2400,200,Y,1.0,Y,61114
KAXN,3,6.666666666666667,7.0,10.0,3.0,3.5118845842842465,CHANDLER FIELD,ALEXANDRIA,MN,RNAV (GPS) RWY 22,LPV,1677,1,253,N,1.0,Y,48917
KSNL,3,5.166666666666667,3.0,10.0,2.5,4.193248541803042,SHAWNEE RGNL,SHAWNEE,OK,RNAV (GPS) RWY 35,LPV,1317,1,250,N,1.0,Y,72818
KSNA,3,6.333333333333333,5.0,10.0,4.0,3.214550253664318,JOHN WAYNE AIRPORT-ORANGE COUNTY,SANTA ANA,CA,RNAV (GPS) Y RWY 20R,LPV,255,2400,200,Y,1.0,Y,99502
KSMX,3,7.333333333333333,7.0,10.0,5.0,2.516611478423583,SANTA MARIA PUB/CAPT G ALLAN HANCOCK FLD,SANTA MARIA,CA,RNAV (GPS) RWY 12,LPV,430,2400,200,Y,1.0,Y,77927
KSMF,3,6.333333333333333,6.0,10.0,3.0,3.511884584284246,SACRAMENTO INTL,SACRAMENTO,CA,RNAV (GPS) Y RWY 16R,LPV,225,1800,200,Y,1.0,Y,65728
KPVU,3,7.0,9.0,10.0,2.0,4.358898943540674,PROVO MUNI,PROVO,UT,RNAV (GPS) RWY 13,LPV,4697, 0.75,200,Y,1.0,Y,97307
KCAE,3,7.666666666666667,7.0,10.0,6.0,2.0816659994661326,COLUMBIA METROPOLITAN,COLUMBIA,SC,RNAV (GPS) RWY 23,LPV,503,5000,290,N,1.0,Y,40026
KPNS,3,6.666666666666667,6.0,10.0,4.0,3.0550504633038935,PENSACOLA INTL,PENSACOLA,FL,RNAV (GPS) RWY 35,LPV,303,4000,200,N,1.0,Y,40020
KCXO,3,4.166666666666667,1.5,10.0,1.0,5.057996968497839,CONROE-NORTH HOUSTON RGNL,HOUSTON,TX,RNAV (GPS) RWY 32,LPV,495, 0.75,250,N,1.0,Y,62819
KPHL,3,5.5,4.0,10.0,2.5,3.968626966596886,PHILADELPHIA INTL,PHILADELPHIA,PA,RNAV (GPS) RWY 35,LP,460,5500,446,N,1.0,Y,99721
KPHX,3,9.0,9.0,10.0,8.0,1.0,PHOENIX SKY HARBOR INTL,PHOENIX,AZ,RNAV (GPS) Y RWY 25R,LPV,1439,1,305,N,1.0,Y,40022
KPIA,3,8.0,9.0,10.0,5.0,2.6457513110645907,GENERAL DOWNING - PEORIA INTL,PEORIA,IL,RNAV (GPS) RWY 04,LPV,905, 0.5,205,Y,1.0,Y,56210
KPBG,3,6.0,7.0,10.0,1.0,4.58257569495584,PLATTSBURGH INTL,PLATTSBURGH,NY,RNAV (GPS) RWY 17,LPV,561, 0.75,327,N,1.0,Y,40402
KDTO,3,6.333333333333333,5.0,10.0,4.0,3.2145502536643185,DENTON ENTERPRISE,DENTON,TX,RNAV (GPS) RWY 18,LPV,840, 0.5,200,Y,1.0,Y,50520
KPNA,3,5.75,7.0,10.0,0.25,4.993746088859544,RALPH WENZ FIELD,PINEDALE,WY,RNAV (GPS) RWY 29,LPV,7319, 0.75,250,N,1.0,N,40426
KORF,3,6.25,7.0,10.0,1.75,4.175823272122517,NORFOLK INTL,NORFOLK,VA,RNAV (GPS) Z RWY 05,LPV,226,1800,200,Y,1.0,Y,50222
KOFK,3,8.333333333333334,9.0,10.0,6.0,2.0816659994661326,NORFOLK RGNL/KARL STEFAN MEMORIAL FLD,NORFOLK,NE,RNAV (GPS) RWY 01,LPV,1950, 0.75,377,Y,1.0,Y,50120
KELP,3,9.0,9.0,10.0,8.0,1.0,EL PASO INTL,EL PASO,TX,RNAV (GPS) Y RWY 26L,LP,4280, 0.75,318,N,1.0,Y,40223
KEMM,3,5.833333333333333,5.0,10.0,2.5,3.8188130791298667,KEMMERER MUNI,KEMMERER,WY,RNAV (GPS) RWY 16,LPV,7539,1,250,N,1.0,N,82437
KPGA,3,8.333333333333334,9.0,10.0,6.0,2.081665999466133,PAGE MUNI,PAGE,AZ,RNAV (GPS) RWY 15,LPV,4599,1.25,335,N,1.0,N,45604
KPSO,3,6.0,5.0,10.0,3.0,3.605551275463989,STEVENS FIELD,PAGOSOA SPRINGS,CO,RNAV (GPS) RWY 01,LP,8240,1,603,N,1.0,N,58238
KOCH,3,7.333333333333333,9.0,10.0,3.0,3.785938897200183,NACOGDOCHES A L MANGHAM JR RGNL,NACOGDOCHES,TX,RNAV (GPS) RWY 36,LPV,543, 0.5,200,Y,1.0,Y,93528
KO32,3,5.5,4.0,10.0,2.5,3.968626966596886,REEDLEY MUNI,REEDLEY,CA,RNAV (GPS) RWY 16,LPV,636, 0.75,250,N,1.0,N,77841
KCWV,3,5.666666666666667,4.0,10.0,3.0,3.7859388972001824,CLAXTON-EVANS COUNTY,CLAXTON,GA,RNAV (GPS) RWY 09,LPV,472,1.25,360,N,1.0,N,45914
KDXX,3,7.333333333333333,7.0,10.0,5.0,2.5166114784235836,LAC QUI PARLE COUNTY,MADISON,MN,RNAV (GPS) RWY 32,LPV,1282,1,200,N,1.0,N,53530
KMYR,3,5.916666666666667,6.0,10.0,1.75,4.125631264828854,MYRTLE BEACH INTL,MYRTLE BEACH,SC,RNAV (GPS) RWY 36,LPV,225,4000,200,Y,1.0,Y,93719
KEQY,3,5.833333333333333,5.0,10.0,2.5,3.8188130791298667,CHARLOTTE-MONROE EXECUTIVE,MONROE,NC,RNAV (GPS) RWY 05,LPV,883, 0.5,200,Y,1.0,Y,66002
KOTG,3,4.25,1.5,10.0,1.25,4.981214711292819,WORTHINGTON MUNI,WORTHINGTON,MN,RNAV (GPS) RWY 29,LPV,1770, 0.5,200,Y,1.0,Y,45930
KLAA,2,9.0,9.0,10.0,8.0,1.4142135623730951,LAMAR MUNI,LAMAR,CO,RNAV (GPS) RWY 08,LP,4080,1,397,N,1.0,N,97429
KSTF,2,8.5,8.5,10.0,7.0,2.1213203435596424,GEORGE M BRYAN,STARKVILLE,MS,RNAV (GPS) RWY 18,LPV,633,1,300,N,1.0,N,50419
KTOP,2,8.0,8.0,10.0,6.0,2.8284271247461903,PHILIP BILLARD MUNI,TOPEKA,KS,RNAV (GPS) RWY 31,LP,1320,1,440,N,1.0,N,69627
KONP,2,7.5,7.5,10.0,5.0,3.5355339059327378,NEWPORT MUNI,NEWPORT,OR,RNAV (GPS) RWY 16,LPV,402, 0.75,250,Y,1.0,Y,53439
KJWN,2,7.0,7.0,10.0,4.0,4.242640687119285,JOHN C TUNE,NASHVILLE,TN,RNAV (GPS) RWY 02,LPV,734,0.875,250,N,1.0,Y,78325
KOPF,2,7.5,7.5,10.0,5.0,3.5355339059327378,MIAMI OPA-LOCKA EXECUTIVE,MIAMI,FL,RNAV (GPS) RWY 09L,LPV,258, 0.75,250,Y,1.0,Y,53422
KSYR,2,8.0,8.0,9.0,7.0,1.4142135623730951,SYRACUSE HANCOCK INTL,SYRACUSE,NY,RNAV (GPS) Z RWY 10,LPV,619,2400,200,Y,1.0,Y,40017
KSTL,2,6.25,6.25,10.0,2.5,5.303300858899107,LAMBERT-ST LOUIS INTL,ST LOUIS,MO,RNAV (GPS) Y RWY 29,LPV,943,4000,363,Y,1.0,Y,42500
KSUA,2,8.5,8.5,10.0,7.0,2.1213203435596424,WITHAM FIELD,STUART,FL,RNAV (GPS) RWY 12,LPV,266,0.875,250,N,1.0,N,70516
KSYF,2,7.5,7.5,10.0,5.0,3.5355339059327378,CHEYENNE COUNTY MUNI,ST FRANCIS,KS,RNAV (GPS) RWY 32,LPV,3680,1,250,N,1.0,N,45839
KMOB,2,5.5,5.5,8.0,3.0,3.5355339059327378,MOBILE RGNL,MOBILE,AL,RNAV (GPS) RWY 36,LPV,482,0.875,266,N,1.0,Y,50215
KLAX,2,8.0,8.0,10.0,6.0,2.8284271247461903,LOS ANGELES INTL,LOS ANGELES,CA,RNAV (GPS) Y RWY 07L,LPV,344,1800,216,Y,1.0,Y,42504
KJMR,2,7.5,7.5,10.0,5.0,3.5355339059327378,MORA MUNI,MORA,MN,RNAV (GPS) RWY 35,LPV,1267,1,257,N,1.0,N,90139
KSUN,2,8.5,8.5,10.0,7.0,2.1213203435596424,FRIEDMAN MEMORIAL,HAILEY,ID,RNAV (GPS) Y RWY 31 ,LP,6900,1.25,1611,N,1.0,N,62939
KPTN,2,8.0,8.0,10.0,6.0,2.8284271247461903,HARRY P WILLIAMS MEMORIAL,PATTERSON,LA,RNAV (GPS) RWY 24,LPV,209, 0.5,200,Y,1.0,Y,40320
KJEF,2,8.0,8.0,9.0,7.0,1.4142135623730951,JEFFERSON CITY MEMORIAL,JEFFERSON CITY,MO,RNAV (GPS) RWY 12,LPV,951,1.5,404,N,1.0,Y,49005
KTPL,2,9.0,9.0,10.0,8.0,1.4142135623730951,DRAUGHON-MILLER CENTRAL TEXAS RGNL,TEMPLE,TX,RNAV (GPS) RWY 02,LPV,875,1,200,N,1.0,Y,72701
KUBE,2,3.5,3.5,4.0,3.0,0.7071067811865476,CUMBERLAND MUNI,CUMBERLAND,Wi,RNAV (GPS) RWY 09,LPV,1493,1,250,N,1.0,N,49138
KINK,2,8.5,8.5,10.0,7.0,2.1213203435596424,WINKLER COUNTY,WINK,TX,RNAV (GPS) RWY 31,LPV,3012, 0.75,200,N,1.0,N,56233
KMWL,2,5.625,5.625,10.0,1.25,6.187184335382291,MINERAL WELLS,MINERAL WELLS,TX,RNAV (GPS) RWY 31,LPV,1174, 0.75,200,Y,1.0,Y,70639
KIOW,2,9.5,9.5,10.0,9.0,0.7071067811865476,IOWA CITY MUNI,IOWA CITY,IA,RNAV (GPS) RWY 30,LP,1000,1,343,N,1.0,N,86841
KISM,2,8.5,8.5,10.0,7.0,2.1213203435596424,KISSIMMEE GATEWAY,ORLANDO,FL,RNAV (GPS) RWY 33,LPV,326,1,250,N,1.0,Y,42900
KVQQ,2,8.5,8.5,10.0,7.0,2.1213203435596424,CECIL,JACKSONVILLE,FL,RNAV (GPS) RWY 09R,LPV,351,1,274,N,1.0,Y,50516
KVDI,2,8.5,8.5,10.0,7.0,2.1213203435596424,VIDALIA RGNL,VIDALIA,GA,RNAV (GPS) RWY 07,LPV,524, 0.75,250,N,1.0,Y,66037
KVCB,2,7.0,7.0,10.0,4.0,4.242640687119285,NUT TREE,VACAVILLE,CA,RNAV (GPS) RWY 20,LPV,367,0.875,250,N,1.0,N,53740
KUIN,2,6.5,6.5,7.0,6.0,0.7071067811865476,QUINCY RGNL-BALDWIN FIELD,QUINCY,IL,RNAV (GPS) RWY 22,LPV,999,1,250,N,1.0,Y,45705
KU68,2,6.5,6.5,10.0,3.0,4.949747468305833,NORTH BIG HORN COUNTY,COWLEY/LOVELL/BYRON,WY,RNAV (GPS) RWY 09,LPV,4333,1,250,N,1.0,N,86333
KONL,2,6.25,6.25,10.0,2.5,5.303300858899107,THE O'NEILL MUNI-JOHN L BAKER FIELD,O'NEILL,NE,RNAV (GPS) RWY 31,LPV,2281,1,250,N,1.0,N,70503
KU55,2,6.0,6.0,10.0,2.0,5.656854249492381,PANGUITCH MUNI,PANGUITCH,UT,RNAV (GPS) RWY 18,LPV,6963,1,200,N,1.0,N,82418
KJAU,2,6.5,6.5,10.0,3.0,4.949747468305833,COLONEL TOMMY C STINER AIRFIELD,JACKSOBORO,TN,RNAV (GPS) RWY 23,LP,1640,1,460,N,1.0,N,77736
KTYR,2,7.0,7.0,10.0,4.0,4.242640687119285,TYLER POUNDS RGNL,TYLER,TX,RNAV (GPS) RWY 04,LPV,743, 0.75,200,N,1.0,Y,40014
KMQI,2,5.625,5.625,10.0,1.25,6.187184335382291,DARE COUNTY RGNL,MANTEO,NC,RNAV (GPS) RWY 17,LP,460,1,447,N,1.0,N,62926
KJBR,2,7.0,7.0,10.0,4.0,4.242640687119285,JONESBORO MUNI,JONESBORO,AR,RNAV (GPS) RWY 31,LP,560,1,309,N,1.0,Y,50531
KTYQ,2,3.75,3.75,5.0,2.5,1.7677669529663689,INDIANAPOLIS EXECUTIVE,INDIANAPOLIS,IN,RNAV (GPS) RWY 36,LPV,1240,1,318,Y,1.0,Y,53599
KORL,2,5.125,5.125,10.0,0.25,6.894291116568838,EXECUTIVE,ORLANDO,FL,RNAV (GPS) RWY 25,LPV,313, 0.75,200,Y,1.0,Y,58125
KOGD,2,6.0,6.0,10.0,2.0,5.656854249492381,OGDEN-HINCKLEY,OGDEN,UT,RNAV (GPS) Z RWY 03,LPV,4890,1.5,417,Y,1.0,Y,65620
KSRC,2,9.5,9.5,10.0,9.0,0.7071067811865476,SEARCY MUNI,SEARCY,AR,RNAV (GPS) RWY 01,LPV,573, 0.75,320,Y,1.0,Y,81824
KOUN,2,8.5,8.5,10.0,7.0,2.1213203435596424,UNIVERSITY OF OKLAHOMA WESTHEIMER,NORMAN,OK,RNAV (GPS) RWY 18,LPV,1382, 0.5,200,Y,1.0,Y,58302
KSPI,2,9.0,9.0,10.0,8.0,1.4142135623730951,ABRAHAM LINCOLN CAPITAL,SPRINGFIELD,IL,RNAV (GPS) RWY 04,LPV,860,2400,262,Y,1.0,Y,70309
KPIT,2,5.25,5.25,10.0,0.5,6.7175144212722016,PITTSBURGH INTL,PITTSBURGH,PA,RNAV (GPS) Y RWY 28R,LPV,1374,1800,200,Y,1.0,Y,40027
KPKD,2,8.0,8.0,10.0,6.0,2.8284271247461903,PARK RAPIDS MUNI-KONSHOK FIELD,PARK RAPIDS,MN,RNAV (GPS) RWY 13,LP,1820,1,375,N,1.0,Y,86925
KRZR,2,9.0,9.0,10.0,8.0,1.4142135623730951,CLEVELAND RGNL JETPORT,CLEVELAND,TN,RNAV (GPS) RWY 21,LPV,1066, 0.75,200,N,1.0,N,45731
KLXL,2,7.5,7.5,10.0,5.0,3.5355339059327378,LITTLE FALLS/MORRISON COUNTY-LINDBERGH FLD,LITTLE FALLS,MN,RNAV (GPS) RWY 31,LPV,1517,1.375,394,N,1.0,N,93920
KRYY,2,9.0,9.0,10.0,8.0,1.4142135623730951,COBB COUNTY INTL-MCCOLLUM FIELD,ATLANTA,GA,RNAV (GPS) RWY 27,LPV,1211, 0.75,200,Y,1.0,Y,97308
KPNE,2,9.5,9.5,10.0,9.0,0.7071067811865476,NORTHEAST PHILADELPHIA,PHILADELPHIA,PA,RNAV (GPS) RWY 24,LPV,315, 0.5,200,Y,1.0,Y,45504
KLXT,2,4.0,4.0,6.0,2.0,2.8284271247461903,LEE'S SUMMIT MUNI,LEE'S SUMMIT,MO,RNAV (GPS) RWY 36,LPV,1306,0.875,309,N,1.0,N,48805
KMEB,2,4.0,4.0,5.0,3.0,1.4142135623730951,LAURINBURG-MAXTON,MAXTON,NC,RNAV (GPS) RWY 23,LPV,494,0.875,281,N,1.0,Y,61023
KRWF,2,9.5,9.5,10.0,9.0,0.7071067811865476,REDWOOD FALLS MUNI,REDWOOD FALLS,MN,RNAV (GPS) RWY 30,LPV,1304,1,280,N,1.0,N,86610
KM16,2,9.5,9.5,10.0,9.0,0.7071067811865476,JOHN BELL WILLIAMS,RAYMOND,MS,RNAV (GPS) RWY 12,LPV,440, 0.75,200,Y,1.0,Y,50205
KPOC,2,7.5,7.5,8.0,7.0,0.7071067811865476,BRACKETT FIELD,LA VERNE,CA,RNAV (GPS) RWY 26L,LPV,1305,0.875,300,Y,1.0,Y,70624
KRNO,2,7.0,7.0,10.0,4.0,4.242640687119285,RENO/TAHOE INTL,RENO,NV,RNAV (GPS) Y RWY 34R,LPV,5043,2,635,N,1.0,Y,40409
KMAE,2,9.5,9.5,10.0,9.0,0.7071067811865476,MADERA MUNI,MADERA,CA,RNAV (GPS) RWY 12,LPV,503,0.875,250,N,1.0,N,62909
KMDT,2,6.25,6.25,10.0,2.5,5.303300858899107,HARRISBURG INTL,HARRISBURG,PA,RNAV (GPS) RWY 31,LPV,558,5000,250,Y,1.0,Y,78013
KPSK,2,6.5,6.5,10.0,3.0,4.949747468305833,NEW RIVER VALLEY,DUBLIN,VA,RNAV (GPS) RWY 24,LPV,2337,1,250,N,1.0,Y,86227
KRDG,2,8.0,8.0,10.0,6.0,2.8284271247461903,READING RGNL/CARL A SPAATZ FIELD,READING,PA,RNAV (GPS) RWY 13,LPV,926,2,582,Y,1.0,Y,45712
KMCN,2,9.5,9.5,10.0,9.0,0.7071067811865476,MIDDLE GEORGIA RGNL,MACON,GA,RNAV (GPS) RWY 32,LP,680,1,329,N,1.0,Y,63228
KMCD,2,8.5,8.5,10.0,7.0,2.1213203435596424,MACKINAC ISLAND,MACKINAC ISLAND,MI,RNAV (GPS) RWY 08,LP,1080,1,351,N,1.0,N,63129
KRAL,2,6.25,6.25,10.0,2.5,5.303300858899107,RIVERSIDE MUNI,RIVERSIDE,CA,RNAV (GPS) RWY 09,LPV,1127,1.125,332,Y,1.0,Y,81921
